Plant Name,Soil Type,pH Level,Climate,Irrigation Type,Organic Matter %,Fertilizer Type
IR64,Loamy,6.5,Tropical,Drip,2.5,NPK 20-20-20
Swarna,Sandy,5.8,Temperate,Sprinkler,1.8,Urea
BPT 5204,Sandy Loam,6.0,Temperate,Drip,2.2,Compost
MTU1010,Loamy,6.2,Tropical,Flood,2.0,DAP
MTU7029,Sandy Loam,6.1,Arid,Drip,1.5,NPK 12-32-16
Pusa Basmati 1121,Silty,6.8,Temperate,Sprinkler,3.0,Compost
Pusa Basmati 1509,Loamy,6.3,Humid,Drip,2.1,NPK 15-15-15
Rajendra Bhagwati,Sandy,6.5,Tropical,Drip,2.0,Urea
Sambha Mahsuri,Clay,6.0,Temperate,Flood,2.7,Compost
Jaya,Loamy,6.4,Tropical,Drip,1.9,NPK 10-26-26
Rasi,Loamy,6.5,Temperate,Sprinkler,2.4,DAP
ADT 39,Silty,6.3,Temperate,Drip,2.5,Compost
Ponmani,Sandy,5.9,Temperate,Sprinkler,2.0,Urea
CR 1009,Loamy,6.4,Tropical,Drip,1.8,NPK 17-17-17
Ponni,Clay Loam,6.6,Tropical,Flood,2.2,Compost
Kavuni,Loamy,6.3,Tropical,Drip,2.3,NPK 20-20-20
Chitti Mutyalu,Sandy Loam,6.2,Humid,Flood,2.1,Urea
Jeera Samba,Loamy,6.5,Temperate,Sprinkler,2.0,DAP
Kagga,Sandy,6.0,Arid,Drip,1.7,NPK 12-32-16
HMT,Silty,6.8,Temperate,Sprinkler,2.9,Compost
IR64,Sandy Loam,6.1,Temperate,Drip,2.2,Urea
Swarna,Loamy,6.5,Temperate,Sprinkler,2.3,NPK 15-15-15
BPT 5204,Loamy,6.0,Tropical,Drip,2.4,Compost
MTU1010,Compost Rich,6.5,Humid,None,4.0,Organic Mix
MTU7029,Clay,5.9,Tropical,Flood,1.9,Urea
Pusa Basmati 1121,Clay Loam,6.1,Humid,Flood,2.2,DAP
Pusa Basmati 1509,Loamy,6.4,Tropical,Drip,2.1,NPK 20-20-20
Rajendra Bhagwati,Silty,6.7,Temperate,Sprinkler,3.1,Compost
Sambha Mahsuri,Sandy Loam,6.0,Temperate,Drip,2.3,Urea
Jaya,Loamy,6.3,Temperate,Sprinkler,2.5,Compost
Rasi,Loamy,6.5,Tropical,Drip,2.5,NPK 10-26-26
ADT 39,Alluvial,6.8,Humid,Flood,3.0,NPK 19-19-19
Ponmani,Loamy,6.2,Temperate,Drip,2.0,DAP
CR 1009,Sandy Loam,6.4,Tropical,Drip,2.3,Urea
Ponni,Sandy,5.5,Tropical,Drip,2.1,NPK 12-32-16
Kavuni,Loamy,6.7,Tropical,Drip,2.5,NPK 15-15-15
Chitti Mutyalu,Sandy Loam,6.0,Temperate,Drip,2.4,NPK 20-20-20
Jeera Samba,Loamy,6.1,Tropical,Drip,2.0,Urea
Kagga,Clay Loam,6.3,Temperate,Drip,2.2,DAP
HMT,Sandy,6.5,Arid,Drip,1.8,NPK 17-17-17
IR64,Sandy Loam,6.4,Tropical,Drip,2.1,NPK 20-20-20
Swarna,Sandy Loam,6.3,Tropical,Drip,2.0,Urea
BPT 5204,Loamy,6.2,Humid,Drip,2.4,NPK 10-26-26
MTU1010,Red Loamy,6.5,Tropical,Drip,2.3,Compost
MTU7029,Sandy Loam,6.1,Tropical,Drip,2.0,NPK 12-32-16
Pusa Basmati 1121,Loamy,6.3,Tropical,Drip,2.4,Compost
Pusa Basmati 1509,Well Drained,6.5,Tropical,Drip,2.8,NPK 15-15-15
Rajendra Bhagwati,Sandy Loam,6.2,Arid,Drip,2.0,Urea
Sambha Mahsuri,Clay Loam,6.3,Temperate,Drip,2.2,DAP
Jaya,Loamy,6.1,Temperate,Drip,2.3,NPK 20-20-20
Rasi,Sandy Loam,6.0,Temperate,Drip,2.1,Compost
ADT 39,Loamy,6.2,Temperate,Drip,2.4,DAP
Ponmani,Sandy Loam,6.3,Temperate,Drip,2.5,Compost
CR 1009,Loamy,6.5,Temperate,Drip,2.6,NPK 10-26-26
